,Date_heure,nb_ae,nb_ae_rep,nb_ae_tr90,dmr,dmt,TR90,Year,Mois,Semaine,Year_Sem,Date,jsem,creneau,BTS,cs_ae_tr,cs_ae_rep,cs_tr90
2261,2021-12-24 12:00:00,33,33,33,19,339,100,2021,12,51,2021_51,2021-12-24,Vendredi,12:00,False,277,280,98.9
2262,2021-12-24 12:30:00,29,29,25,28,306,86,2021,12,51,2021_51,2021-12-24,Vendredi,12:30,False,302,309,97.7
2263,2021-12-24 13:00:00,31,31,28,24,280,90,2021,12,51,2021_51,2021-12-24,Vendredi,13:00,False,330,340,97.1
2264,2021-12-24 13:30:00,22,22,22,9,337,100,2021,12,51,2021_51,2021-12-24,Vendredi,13:30,False,352,362,97.2
2265,2021-12-24 14:00:00,28,28,27,18,275,96,2021,12,51,2021_51,2021-12-24,Vendredi,14:00,False,379,390,97.2
2266,2021-12-24 14:30:00,31,31,21,65,313,67,2021,12,51,2021_51,2021-12-24,Vendredi,14:30,False,400,421,95.0
2267,2021-12-24 15:00:00,27,27,24,24,357,88,2021,12,51,2021_51,2021-12-24,Vendredi,15:00,False,424,448,94.6
2268,2021-12-24 15:30:00,19,19,19,8,326,100,2021,12,51,2021_51,2021-12-24,Vendredi,15:30,False,443,467,94.9
2269,2021-12-24 16:00:00,17,17,17,8,325,100,2021,12,51,2021_51,2021-12-24,Vendredi,16:00,False,460,484,95.0
2270,2021-12-24 16:30:00,3,3,3,8,358,100,2021,12,51,2021_51,2021-12-24,Vendredi,16:30,False,463,487,95.1
2271,2021-12-24 17:30:00,2,2,2,9,345,100,2021,12,51,2021_51,2021-12-24,Vendredi,17:30,False,465,489,95.1
2272,2021-12-27 08:00:00,2,2,2,8,214,100,2021,12,52,2021_52,2021-12-27,Lundi,08:00,False,2,2,100.0
2273,2021-12-27 08:30:00,12,12,12,8,217,100,2021,12,52,2021_52,2021-12-27,Lundi,08:30,False,14,14,100.0
2274,2021-12-27 09:00:00,14,14,14,9,268,100,2021,12,52,2021_52,2021-12-27,Lundi,09:00,False,28,28,100.0
2275,2021-12-27 09:30:00,20,20,20,10,306,100,2021,12,52,2021_52,2021-12-27,Lundi,09:30,False,48,48,100.0
2276,2021-12-27 10:00:00,21,20,18,43,326,90,2021,12,52,2021_52,2021-12-27,Lundi,10:00,False,66,68,97.1
2277,2021-12-27 10:30:00,14,14,13,31,329,92,2021,12,52,2021_52,2021-12-27,Lundi,10:30,False,79,82,96.3
2278,2021-12-27 11:00:00,23,23,21,46,333,91,2021,12,52,2021_52,2021-12-27,Lundi,11:00,False,100,105,95.2
2279,2021-12-27 11:30:00,12,12,12,34,364,100,2021,12,52,2021_52,2021-12-27,Lundi,11:30,False,112,117,95.7
2280,2021-12-27 12:00:00,23,23,23,25,278,100,2021,12,52,2021_52,2021-12-27,Lundi,12:00,False,135,140,96.4
2281,2021-12-27 12:30:00,18,18,18,16,314,100,2021,12,52,2021_52,2021-12-27,Lundi,12:30,False,153,158,96.8
2282,2021-12-27 13:00:00,14,14,9,59,300,64,2021,12,52,2021_52,2021-12-27,Lundi,13:00,False,162,172,94.2
2283,2021-12-27 13:30:00,13,13,13,21,309,100,2021,12,52,2021_52,2021-12-27,Lundi,13:30,False,175,185,94.6
2284,2021-12-27 14:00:00,23,23,23,11,270,100,2021,12,52,2021_52,2021-12-27,Lundi,14:00,False,198,208,95.2
2285,2021-12-27 14:30:00,4,4,4,18,313,100,2021,12,52,2021_52,2021-12-27,Lundi,14:30,False,202,212,95.3
