,Date_heure,nb_ae,nb_ae_rep,nb_ae_tr90,dmr,dmt,TR90,Year,Mois,Semaine,Year_Sem,Date,jsem,creneau,BTS,cs_ae_tr,cs_ae_rep,cs_tr90
628,2021-10-01 15:00:00,33,33,33,22,322,100,2021,10,39,2021_39,2021-10-01,Vendredi,15:00,True,420,441,95.2
629,2021-10-01 15:30:00,21,20,18,31,399,90,2021,10,39,2021_39,2021-10-01,Vendredi,15:30,True,438,461,95.0
630,2021-10-01 16:00:00,34,34,33,32,307,97,2021,10,39,2021_39,2021-10-01,Vendredi,16:00,True,471,495,95.2
631,2021-10-01 16:30:00,38,38,37,38,366,97,2021,10,39,2021_39,2021-10-01,Vendredi,16:30,True,508,533,95.3
632,2021-10-01 17:00:00,34,33,27,52,300,81,2021,10,39,2021_39,2021-10-01,Vendredi,17:00,True,535,566,94.5
633,2021-10-01 17:30:00,22,22,19,46,414,86,2021,10,39,2021_39,2021-10-01,Vendredi,17:30,True,554,588,94.2
634,2021-10-01 18:00:00,19,19,14,60,421,73,2021,10,39,2021_39,2021-10-01,Vendredi,18:00,True,568,607,93.6
635,2021-10-01 18:30:00,13,13,12,35,205,92,2021,10,39,2021_39,2021-10-01,Vendredi,18:30,True,580,620,93.5
636,2021-10-01 19:00:00,7,7,2,160,366,28,2021,10,39,2021_39,2021-10-01,Vendredi,19:00,True,582,627,92.8
637,2021-10-02 08:00:00,22,22,22,19,362,100,2021,10,39,2021_39,2021-10-02,Samedi,08:00,True,22,22,100.0
638,2021-10-02 08:30:00,19,19,19,18,293,100,2021,10,39,2021_39,2021-10-02,Samedi,08:30,True,41,41,100.0
639,2021-10-02 09:00:00,19,19,14,70,256,73,2021,10,39,2021_39,2021-10-02,Samedi,09:00,True,55,60,91.7
640,2021-10-02 09:30:00,20,20,15,53,336,75,2021,10,39,2021_39,2021-10-02,Samedi,09:30,True,70,80,87.5
641,2021-10-02 10:00:00,17,17,13,82,422,76,2021,10,39,2021_39,2021-10-02,Samedi,10:00,True,83,97,85.6
642,2021-10-02 10:30:00,21,21,18,45,392,85,2021,10,39,2021_39,2021-10-02,Samedi,10:30,True,101,118,85.6
643,2021-10-02 11:00:00,15,15,15,19,395,100,2021,10,39,2021_39,2021-10-02,Samedi,11:00,True,116,133,87.2
644,2021-10-02 11:30:00,30,29,29,28,270,100,2021,10,39,2021_39,2021-10-02,Samedi,11:30,True,145,162,89.5
645,2021-10-02 12:00:00,20,20,20,22,354,100,2021,10,39,2021_39,2021-10-02,Samedi,12:00,True,165,182,90.7
646,2021-10-02 12:30:00,16,16,13,46,343,81,2021,10,39,2021_39,2021-10-02,Samedi,12:30,True,178,198,89.9
647,2021-10-02 13:00:00,13,13,11,62,434,84,2021,10,39,2021_39,2021-10-02,Samedi,13:00,True,189,211,89.6
648,2021-10-02 13:30:00,16,16,16,15,326,100,2021,10,39,2021_39,2021-10-02,Samedi,13:30,True,205,227,90.3
649,2021-10-02 14:00:00,30,30,30,19,202,100,2021,10,39,2021_39,2021-10-02,Samedi,14:00,True,235,257,91.4
650,2021-10-02 14:30:00,22,22,19,37,469,86,2021,10,39,2021_39,2021-10-02,Samedi,14:30,True,254,279,91.0
651,2021-10-02 15:00:00,14,14,14,21,321,100,2021,10,39,2021_39,2021-10-02,Samedi,15:00,True,268,293,91.5
652,2021-10-02 15:30:00,27,27,22,51,329,81,2021,10,39,2021_39,2021-10-02,Samedi,15:30,True,290,320,90.6
653,2021-10-02 16:00:00,19,19,19,19,295,100,2021,10,39,2021_39,2021-10-02,Samedi,16:00,True,309,339,91.2
654,2021-10-02 16:30:00,9,9,9,17,261,100,2021,10,39,2021_39,2021-10-02,Samedi,16:30,True,318,348,91.4
655,2021-10-02 17:00:00,13,13,13,21,472,100,2021,10,39,2021_39,2021-10-02,Samedi,17:00,True,331,361,91.7
656,2021-10-02 17:30:00,9,9,8,39,256,88,2021,10,39,2021_39,2021-10-02,Samedi,17:30,True,339,370,91.6
657,2021-10-02 18:00:00,12,11,5,99,343,45,2021,10,39,2021_39,2021-10-02,Samedi,18:00,True,344,381,90.3
658,2021-10-02 18:30:00,5,5,5,23,503,100,2021,10,39,2021_39,2021-10-02,Samedi,18:30,True,349,386,90.4
659,2021-10-02 19:00:00,1,1,1,16,271,100,2021,10,39,2021_39,2021-10-02,Samedi,19:00,True,350,387,90.4
660,2021-10-02 19:30:00,1,1,1,17,121,100,2021,10,39,2021_39,2021-10-02,Samedi,19:30,True,351,388,90.5
661,2021-10-04 08:00:00,9,9,9,16,340,100,2021,10,40,2021_40,2021-10-04,Lundi,08:00,True,9,9,100.0
662,2021-10-04 08:30:00,20,20,20,18,359,100,2021,10,40,2021_40,2021-10-04,Lundi,08:30,True,29,29,100.0
663,2021-10-04 09:00:00,21,21,20,23,341,95,2021,10,40,2021_40,2021-10-04,Lundi,09:00,True,49,50,98.0
664,2021-10-04 09:30:00,20,20,19,25,303,95,2021,10,40,2021_40,2021-10-04,Lundi,09:30,True,68,70,97.1
665,2021-10-04 10:00:00,24,23,13,79,394,56,2021,10,40,2021_40,2021-10-04,Lundi,10:00,True,81,93,87.1
666,2021-10-04 10:30:00,17,17,12,69,359,70,2021,10,40,2021_40,2021-10-04,Lundi,10:30,True,93,110,84.5
667,2021-10-04 11:00:00,23,23,13,99,402,56,2021,10,40,2021_40,2021-10-04,Lundi,11:00,True,106,133,79.7
668,2021-10-04 11:30:00,23,23,20,48,336,87,2021,10,40,2021_40,2021-10-04,Lundi,11:30,True,126,156,80.8
669,2021-10-04 12:00:00,11,11,11,18,170,100,2021,10,40,2021_40,2021-10-04,Lundi,12:00,True,137,167,82.0
670,2021-10-04 12:30:00,11,11,8,52,267,72,2021,10,40,2021_40,2021-10-04,Lundi,12:30,True,145,178,81.5
671,2021-10-04 13:00:00,22,22,7,145,431,31,2021,10,40,2021_40,2021-10-04,Lundi,13:00,True,152,200,76.0
672,2021-10-04 13:30:00,18,18,15,50,348,83,2021,10,40,2021_40,2021-10-04,Lundi,13:30,True,167,218,76.6
673,2021-10-04 14:00:00,12,12,12,24,299,100,2021,10,40,2021_40,2021-10-04,Lundi,14:00,True,179,230,77.8
674,2021-10-04 14:30:00,24,24,23,26,436,95,2021,10,40,2021_40,2021-10-04,Lundi,14:30,True,202,254,79.5
675,2021-10-04 15:00:00,25,25,15,113,349,60,2021,10,40,2021_40,2021-10-04,Lundi,15:00,True,217,279,77.8
676,2021-10-04 15:30:00,24,24,15,72,396,62,2021,10,40,2021_40,2021-10-04,Lundi,15:30,True,232,303,76.6
677,2021-10-04 16:00:00,17,17,16,32,278,94,2021,10,40,2021_40,2021-10-04,Lundi,16:00,True,248,320,77.5
678,2021-10-04 16:30:00,13,13,13,17,377,100,2021,10,40,2021_40,2021-10-04,Lundi,16:30,True,261,333,78.4
679,2021-10-04 17:00:00,19,19,19,22,438,100,2021,10,40,2021_40,2021-10-04,Lundi,17:00,True,280,352,79.5
680,2021-10-04 17:30:00,15,15,15,23,382,100,2021,10,40,2021_40,2021-10-04,Lundi,17:30,True,295,367,80.4
681,2021-10-04 18:00:00,7,7,4,122,360,57,2021,10,40,2021_40,2021-10-04,Lundi,18:00,True,299,374,79.9
682,2021-10-04 18:30:00,7,7,7,35,335,100,2021,10,40,2021_40,2021-10-04,Lundi,18:30,True,306,381,80.3
683,2021-10-04 19:00:00,3,3,3,27,430,100,2021,10,40,2021_40,2021-10-04,Lundi,19:00,True,309,384,80.5
684,2021-10-05 08:00:00,21,21,21,16,405,100,2021,10,40,2021_40,2021-10-05,Mardi,08:00,True,21,21,100.0
685,2021-10-05 08:30:00,33,33,33,16,341,100,2021,10,40,2021_40,2021-10-05,Mardi,08:30,True,54,54,100.0
686,2021-10-05 09:00:00,35,34,34,26,392,100,2021,10,40,2021_40,2021-10-05,Mardi,09:00,True,88,88,100.0
687,2021-10-05 09:30:00,37,36,36,25,325,100,2021,10,40,2021_40,2021-10-05,Mardi,09:30,True,124,124,100.0
688,2021-10-05 10:00:00,28,27,26,29,345,96,2021,10,40,2021_40,2021-10-05,Mardi,10:00,True,150,151,99.3
689,2021-10-05 10:30:00,42,42,41,26,321,97,2021,10,40,2021_40,2021-10-05,Mardi,10:30,True,191,193,99.0
690,2021-10-05 11:00:00,33,33,33,18,328,100,2021,10,40,2021_40,2021-10-05,Mardi,11:00,True,224,226,99.1
691,2021-10-05 11:30:00,27,26,26,17,325,100,2021,10,40,2021_40,2021-10-05,Mardi,11:30,True,250,252,99.2
692,2021-10-05 12:00:00,21,21,21,21,395,100,2021,10,40,2021_40,2021-10-05,Mardi,12:00,True,271,273,99.3
693,2021-10-05 12:30:00,23,23,17,55,344,73,2021,10,40,2021_40,2021-10-05,Mardi,12:30,True,288,296,97.3
694,2021-10-05 13:00:00,25,25,11,145,367,44,2021,10,40,2021_40,2021-10-05,Mardi,13:00,True,299,321,93.1
695,2021-10-05 13:30:00,24,23,22,30,355,95,2021,10,40,2021_40,2021-10-05,Mardi,13:30,True,321,344,93.3
696,2021-10-05 14:00:00,28,28,28,24,373,100,2021,10,40,2021_40,2021-10-05,Mardi,14:00,True,349,372,93.8
697,2021-10-05 14:30:00,25,25,25,17,480,100,2021,10,40,2021_40,2021-10-05,Mardi,14:30,True,374,397,94.2
698,2021-10-05 15:00:00,33,33,33,22,383,100,2021,10,40,2021_40,2021-10-05,Mardi,15:00,True,407,430,94.7
699,2021-10-05 15:30:00,31,31,31,19,313,100,2021,10,40,2021_40,2021-10-05,Mardi,15:30,True,438,461,95.0
700,2021-10-05 16:00:00,22,22,22,19,432,100,2021,10,40,2021_40,2021-10-05,Mardi,16:00,True,460,483,95.2
701,2021-10-05 16:30:00,32,32,32,17,343,100,2021,10,40,2021_40,2021-10-05,Mardi,16:30,True,492,515,95.5
702,2021-10-05 17:00:00,41,41,32,52,333,78,2021,10,40,2021_40,2021-10-05,Mardi,17:00,True,524,556,94.2
703,2021-10-05 17:30:00,20,20,20,17,322,100,2021,10,40,2021_40,2021-10-05,Mardi,17:30,True,544,576,94.4
704,2021-10-05 18:00:00,13,13,2,236,370,15,2021,10,40,2021_40,2021-10-05,Mardi,18:00,True,546,589,92.7
705,2021-10-05 18:30:00,15,14,2,235,281,14,2021,10,40,2021_40,2021-10-05,Mardi,18:30,True,548,603,90.9
706,2021-10-05 19:00:00,7,7,4,164,399,57,2021,10,40,2021_40,2021-10-05,Mardi,19:00,True,552,610,90.5
707,2021-10-06 08:00:00,41,40,40,19,335,100,2021,10,40,2021_40,2021-10-06,Mercredi,08:00,True,40,40,100.0
708,2021-10-06 08:30:00,63,63,63,20,380,100,2021,10,40,2021_40,2021-10-06,Mercredi,08:30,True,103,103,100.0
709,2021-10-06 09:00:00,58,58,58,19,275,100,2021,10,40,2021_40,2021-10-06,Mercredi,09:00,True,161,161,100.0
710,2021-10-06 09:30:00,44,44,44,29,418,100,2021,10,40,2021_40,2021-10-06,Mercredi,09:30,True,205,205,100.0
711,2021-10-06 10:00:00,50,50,45,43,348,90,2021,10,40,2021_40,2021-10-06,Mercredi,10:00,True,250,255,98.0
712,2021-10-06 10:30:00,52,52,52,20,354,100,2021,10,40,2021_40,2021-10-06,Mercredi,10:30,True,302,307,98.4
713,2021-10-06 11:00:00,53,52,43,52,457,82,2021,10,40,2021_40,2021-10-06,Mercredi,11:00,True,345,359,96.1
714,2021-10-06 11:30:00,62,61,61,28,298,100,2021,10,40,2021_40,2021-10-06,Mercredi,11:30,True,406,420,96.7
715,2021-10-06 12:00:00,33,33,33,19,384,100,2021,10,40,2021_40,2021-10-06,Mercredi,12:00,True,439,453,96.9
716,2021-10-06 12:30:00,39,39,21,105,347,53,2021,10,40,2021_40,2021-10-06,Mercredi,12:30,True,460,492,93.5
717,2021-10-06 13:00:00,34,34,18,95,436,52,2021,10,40,2021_40,2021-10-06,Mercredi,13:00,True,478,526,90.9
718,2021-10-06 13:30:00,35,35,35,20,308,100,2021,10,40,2021_40,2021-10-06,Mercredi,13:30,True,513,561,91.4
719,2021-10-06 14:00:00,41,41,15,133,406,36,2021,10,40,2021_40,2021-10-06,Mercredi,14:00,True,528,602,87.7
720,2021-10-06 14:30:00,56,54,28,95,329,51,2021,10,40,2021_40,2021-10-06,Mercredi,14:30,True,556,656,84.8
721,2021-10-06 15:00:00,64,63,63,24,333,100,2021,10,40,2021_40,2021-10-06,Mercredi,15:00,True,619,719,86.1
722,2021-10-06 15:30:00,66,66,43,77,328,65,2021,10,40,2021_40,2021-10-06,Mercredi,15:30,True,662,785,84.3
723,2021-10-06 16:00:00,61,60,9,155,347,15,2021,10,40,2021_40,2021-10-06,Mercredi,16:00,True,671,845,79.4
724,2021-10-06 16:30:00,57,56,56,21,332,100,2021,10,40,2021_40,2021-10-06,Mercredi,16:30,True,727,901,80.7
725,2021-10-06 17:00:00,63,63,34,87,333,54,2021,10,40,2021_40,2021-10-06,Mercredi,17:00,True,761,964,78.9
726,2021-10-06 17:30:00,47,46,11,168,294,23,2021,10,40,2021_40,2021-10-06,Mercredi,17:30,True,772,1010,76.4
727,2021-10-06 18:30:00,17,17,7,193,263,41,2021,10,40,2021_40,2021-10-06,Mercredi,18:30,True,779,1027,75.9
728,2021-10-07 08:00:00,45,45,45,15,368,100,2021,10,40,2021_40,2021-10-07,Jeudi,08:00,True,45,45,100.0
729,2021-10-07 08:30:00,65,65,43,74,438,66,2021,10,40,2021_40,2021-10-07,Jeudi,08:30,True,88,110,80.0
